,股票代码,股票简称,关注,最新价
0,SZ002229,鸿博股份,279,22.13
1,SH601318,中国平安,266,37.78
2,SH601127,赛力斯,254,89.8
3,SH600519,贵州茅台,248,1634.03
4,SZ000977,浪潮信息,238,37.85
5,SH600036,招商银行,229,32.12
6,SZ002594,比亚迪,226,210.6
7,SH601136,首创证券,212,17.67
8,SH600887,伊利股份,203,26.57
9,SZ000628,高新发展,186,55.86
10,SZ000002,万科A,175,7.1
11,SH603178,圣龙股份,171,27.21
12,SH603259,药明康德,161,42.89
13,SZ002352,顺丰控股,155,34.29
14,SZ301236,软通动力,152,43.34
15,SH600938,中国海油,150,29.2
16,SZ002261,拓维信息,149,14.23
17,SZ300750,宁德时代,145,188.39
18,SZ002786,银宝山新,139,10.65
19,SZ300288,朗玛信息,136,12.88
20,SZ002027,分众传媒,134,6.92
21,SH601012,隆基绿能,134,18.56
22,SZ002230,科大讯飞,132,46.0
23,SH603212,赛伍技术,127,12.09
24,SH601099,太平洋,124,3.02
25,SH601858,中国科传,121,23.82
26,SH603019,中科曙光,120,45.0
27,SZ002855,捷荣技术,119,25.98
28,SZ002896,中大力德,119,32.39
29,SZ300364,中文在线,118,24.26
30,SZ002304,洋河股份,115,93.45
31,SH603083,剑桥科技,114,37.4
32,SH603220,中贝通信,113,28.72
33,SH603598,引力传媒,111,15.48
34,SH601989,中国重工,109,4.76
35,SH603918,金桥信息,108,14.15
36,SH600895,张江高科,106,18.31
37,SZ000651,格力电器,102,38.18
38,SH600880,博瑞传播,101,4.32
39,SH603000,人民网,100,24.02
40,SH600900,长江电力,99,25.42
41,SH600150,中国船舶,98,37.28
42,SZ000625,长安汽车,97,17.95
43,SZ300059,东方财富,97,12.1
44,SZ200625,长安B,97,4.3
45,SH603721,中广天择,96,33.21
46,SZ300308,中际旭创,95,169.33
47,SH601166,兴业银行,94,15.49
48,SH601360,三六零,94,8.66
49,SZ301141,中科磁业,93,47.86
50,SH605577,龙版传媒,92,18.32
51,SZ300045,华力创通,90,20.94
52,SZ002902,铭普光磁,89,24.97
53,SH601138,工业富联,89,22.26
54,SZ300418,昆仑万维,88,42.5
55,SZ300274,阳光电源,88,96.28
56,SZ000063,中兴通讯,88,26.96
57,SH600072,中船科技,87,15.26
58,SZ002281,光迅科技,86,34.6
59,SH601949,中国出版,85,7.25
60,SZ002555,三七互娱,85,16.53
61,SH603496,恒为科技,84,25.71
62,SZ002456,欧菲光,84,9.07
63,SH603266,天龙股份,84,19.11
64,SZ000988,华工科技,84,32.63
65,SH601728,中国电信,83,5.96
66,SH603729,龙韵股份,82,20.68
67,SH601919,中远海控,80,10.63
68,SZ002703,浙江世宝,80,13.09
69,SZ301076,新瀚新材,79,22.35
70,SZ001300,三柏硕,79,12.81
71,SZ002222,福晶科技,79,26.19
72,SZ000858,五粮液,77,140.49
73,SZ002176,江特电机,76,10.59
74,SH601288,农业银行,76,4.28
75,SZ002771,真视通,75,18.84
76,SH600088,中视传媒,75,19.09
77,SZ002415,海康威视,75,30.92
78,SH603533,掌阅科技,74,22.1
79,SH600941,中国移动,74,101.05
80,SH600276,恒瑞医药,71,44.09
81,SZ002173,创新医疗,71,8.42
82,SH688981,中芯国际,70,40.33
83,SZ002238,天威视讯,69,9.98
84,SH600630,龙头股份,69,9.13
85,SZ001339,智微智能,69,30.57
86,SH601398,工商银行,69,5.32
87,SH600178,东安动力,68,11.09
88,SZ002292,奥飞娱乐,68,6.61
89,SH600585,海螺水泥,68,22.55
90,SH603662,柯力传感,68,27.7
91,SH603580,艾艾精工,67,23.91
92,SH600009,上海机场,67,35.45
93,SZ300293,蓝英装备,66,13.8
94,SZ000538,云南白药,66,50.6
95,SZ002466,天齐锂业,66,48.92
96,SH605011,杭州热电,66,28.6
97,SZ000925,众合科技,66,6.8
98,SH601900,南方传媒,66,14.91
99,SZ002654,万润科技,66,10.2
100,SH601595,上海电影,65,27.96
101,SH600418,江淮汽车,64,16.23
102,SH601899,紫金矿业,64,18.39
103,SZ002269,美邦服饰,64,1.58
104,SH600600,青岛啤酒,64,74.38
105,SH603960,克来机电,64,30.62
106,SZ300576,容大感光,63,34.9
107,SH603985,恒润股份,63,18.9
108,SZ002952,亚世光电,62,24.95
109,SH600016,民生银行,62,3.91
110,SZ002584,西陇科学,62,8.27
111,SZ300002,神州泰岳,62,8.88
112,SH688648,中邮科技,61,25.0
113,SZ301368,丰立智能,61,42.29
114,SH601888,中国中免,61,75.98
115,SZ002995,天地在线,61,16.68
116,SZ002197,证通电子,60,8.38
117,SH603322,超讯通信,60,31.46
118,SZ300015,爱尔眼科,59,12.3
119,SZ002315,焦点科技,59,31.3
120,SZ000938,紫光股份,58,20.02
121,SH688116,天奈科技,58,25.99
122,SZ000001,平安银行,58,10.06
123,SH603106,恒银科技,58,5.24
124,SH603153,上海建科,57,17.05
125,SH600678,四川金顶,57,6.08
126,SH603933,睿能科技,57,13.77
127,SZ301083,百胜智能,56,13.24
128,SZ002460,赣锋锂业,56,38.6
129,SH603629,利通电子,56,25.94
130,SZ300735,光弘科技,55,25.34
131,SZ300803,指南针,55,40.82
132,SZ300347,泰格医药,55,55.68
133,SH603536,惠发食品,54,11.69
134,SH605118,力鼎光电,54,18.95
135,SH601939,建设银行,54,7.03
136,SH603328,依顿电子,54,6.72
137,SZ000526,学大教育,54,58.55
138,SH688012,中微公司,54,138.66
139,SH603286,日盈电子,54,19.0
140,SH603099,长白山,53,24.48
141,SH603108,润达医疗,53,18.42
142,SZ002888,惠威科技,53,14.92
143,SZ000037,深南电A,52,9.47
144,SZ000681,视觉中国,51,12.91
145,SH605218,伟时电子,51,18.65
146,SZ002714,牧原股份,51,42.18
147,SH603986,兆易创新,51,73.85
148,SH600030,中信证券,50,17.94
149,SH603628,清源股份,50,17.1
150,SZ002497,雅化集团,50,10.7
151,SZ000661,长春高新,49,118.01
152,SZ002428,云南锗业,49,11.64
153,SH601688,华泰证券,49,13.1
154,SH603211,晋拓股份,49,15.76
155,SZ001314,亿道信息,48,44.32
156,SZ300502,新易盛,48,69.5
157,SZ000790,华神科技,48,3.95
158,SZ300044,赛为智能,48,5.31
159,SZ000333,美的集团,48,64.89
160,SH601059,信达证券,48,14.11
161,SZ002395,双象股份,48,15.18
162,SZ300474,景嘉微,47,66.78
163,SZ002962,五方光电,47,14.08
164,SZ000766,通化金马,47,17.07
165,SZ002174,游族网络,47,9.42
166,SH600571,信雅达,47,11.35
167,SH688318,财富趋势,47,98.28
168,SZ301221,光庭信息,47,38.6
169,SZ002777,久远银海,47,18.89
170,SH601788,光大证券,47,15.18
171,SZ300751,迈为股份,47,106.5
172,SZ002640,跨境通,46,2.51
173,SH603296,华勤技术,46,75.0
174,SH600839,四川长虹,46,5.14
175,SH603037,凯众股份,46,19.78
176,SZ300058,蓝色光标,46,6.42
177,SZ300451,创业慧康,46,4.06
178,SZ002559,亚威股份,46,9.88
179,SZ301308,江波龙,45,87.11
180,SH600679,上海凤凰,45,9.73
181,SH600415,小商品城,45,8.63
182,SZ301338,凯格精机,45,27.5
183,SZ002400,省广集团,45,5.62
184,SZ002739,万达电影,45,14.83
185,SH600436,片仔癀,45,216.58
186,SH601390,中国中铁,45,6.8
187,SH603728,鸣志电器,45,50.77
188,SZ300255,常山药业,44,10.13
189,SZ301281,科源制药,44,26.59
190,SH605588,冠石科技,44,45.89
191,SH688256,寒武纪-U,44,160.2
192,SZ002728,特一药业,44,14.77
193,SZ002507,涪陵榨菜,43,12.74
194,SZ002553,南方精工,43,11.01
195,SZ300549,优德精密,43,15.27
196,SZ300016,北陆药业,43,4.89
197,SZ300624,万兴科技,43,86.1
198,SZ000895,双汇发展,43,26.87
199,SH600771,广誉远,43,23.94
200,SZ000895,双汇发展,43,26.87
201,SZ300880,迦南智能,42,15.82
202,SZ300678,中科信息,42,28.58
203,SH603767,中马传动,42,14.52
204,SZ000837,秦川机床,42,9.05
205,SZ300210,森远股份,42,10.51
206,SH600318,新力金融,42,6.47
207,SH601985,中国核电,42,9.28
208,SZ002657,中科金财,42,13.75
209,SH603993,洛阳钼业,41,8.96
210,SZ000600,建投能源,41,6.95
211,SZ002241,歌尔股份,41,15.24
212,SZ301366,一博科技,41,29.31
213,SZ002313,日海智能,41,9.49
214,SZ000617,中油资本,41,5.44
215,SZ002717,岭南股份,41,2.11
216,SH601225,陕西煤业,40,25.94
217,SH603291,联合水务,40,13.61
218,SZ002602,世纪华通,40,4.64
219,SH601857,中国石油,40,10.27
220,SH601988,中国银行,40,4.49
221,SH603288,海天味业,40,36.16
222,SZ002156,通富微电,40,21.34
223,SZ300017,网宿科技,40,8.78
224,SZ001299,美能能源,40,13.9
225,SZ002882,金龙羽,39,17.6
226,SZ002624,完美世界,39,10.06
227,SZ002151,北斗星通,39,28.44
228,SZ000936,华西股份,39,7.31
229,SZ002317,众生药业,39,14.9
230,SH600636,国新文化,39,10.0
231,SZ300781,因赛集团,39,52.32
232,SZ300475,香农芯创,39,38.85
233,SH600031,三一重工,39,15.62
234,SZ002432,九安医疗,38,40.17
235,SZ001337,四川黄金,38,31.36
236,SZ002114,罗平锌电,38,6.2
237,SZ000789,万年青,38,5.97
238,SZ002738,中矿资源,38,38.68
239,SZ001227,兰州银行,38,2.47
240,SZ301041,金百泽,38,22.1
241,SZ000725,京东方A,38,4.23
242,SH601088,中国神华,38,39.73
243,SH688522,纳睿雷达,38,49.68
244,SZ002362,汉王科技,38,19.45
245,SZ001324,长青科技,38,20.65
246,SH688591,泰凌微,38,19.23
247,SH600048,保利发展,37,7.9
248,SZ000017,深中华A,37,9.98
249,SZ300896,爱美客,37,289.86
250,SH600111,北方稀土,37,20.17
251,SH600745,闻泰科技,37,34.75
252,SH600706,曲江文旅,37,16.23
253,SZ002463,沪电股份,37,30.24
254,SZ002236,大华股份,37,18.09
255,SH600775,南京熊猫,37,9.09
256,SH605167,利柏特,37,8.74
257,SZ001330,博纳影业,36,6.21
258,SH601698,中国卫通,36,14.73
259,SH603097,江苏华辰,36,22.86
260,SZ300122,智飞生物,36,40.94
261,SZ002355,兴民智通,36,4.23
262,SZ000158,常山北明,36,7.68
263,SH600309,万华化学,36,86.11
264,SZ002527,新时达,36,8.03
265,SH601117,中国化学,36,6.56
266,SZ000712,锦龙股份,36,10.86
267,SZ002036,联创电子,36,7.69
268,SZ002892,科力尔,36,13.37
269,SH603888,新华网,36,22.18
270,SH600085,同仁堂,35,41.02
271,SZ000792,盐湖股份,35,16.47
272,SZ300374,中铁装配,35,13.5
273,SZ300687,赛意信息,35,16.52
274,SH600310,广西能源,35,3.4
275,SH600256,广汇能源,35,7.79
276,SZ301183,东田微,35,46.2
277,SZ300339,润和软件,35,22.69
278,SH600329,达仁堂,35,31.57
279,SH600196,复星医药,35,22.55
280,SZ300394,天孚通信,35,167.81
281,SZ002761,浙江建投,35,9.46
282,SZ300807,天迈科技,35,23.29
283,SZ002536,飞龙股份,34,12.17
284,SH603042,华脉科技,34,10.84
285,SH600438,通威股份,34,23.31
286,SZ000801,四川九洲,34,11.25
287,SZ300184,力源信息,34,5.07
288,SZ300199,翰宇药业,34,10.98
289,SZ000021,深科技,34,13.46
290,SZ000020,深华发A,34,12.78
291,SH605179,一鸣食品,34,13.19
292,SH603660,苏州科达,34,6.73
293,SH601615,明阳智能,33,9.41
294,SZ301297,富乐德,33,20.13
295,SH688017,绿的谐波,33,111.0
296,SZ300233,金城医药,33,16.13
297,SH603517,绝味食品,33,18.92
298,SZ001298,好上好,33,25.02
299,SH600613,神奇制药,33,6.34
300,SH600593,大连圣亚,33,24.3
301,SH600083,博信股份,33,7.53
302,SH600506,统一股份,33,12.05
303,SZ300353,东土科技,33,9.39
304,SZ001319,铭科精技,33,18.75
305,SH601601,中国太保,32,22.11
306,SH601995,中金公司,32,30.22
307,SZ300637,扬帆新材,32,8.01
308,SZ300033,同花顺,32,112.91
309,SH600570,恒生电子,32,20.52
310,SH688503,聚和材料,32,56.67
311,SZ300024,机器人,32,10.46
312,SZ300003,乐普医疗,32,13.45
313,SH900948,伊泰B股,32,2.016
314,SZ002085,万丰奥威,31,13.02
315,SZ000676,智度股份,31,6.87
316,SZ301498,乖宝宠物,31,48.08
317,SZ000550,江铃汽车,31,28.88
318,SH688787,海天瑞声,31,66.4
319,SZ301191,菲菱科思,31,78.95
320,SH603327,福蓉科技,31,15.98
321,SH600066,宇通客车,31,22.86
322,SZ300939,秋田微,31,27.98
323,SZ003015,日久光电,31,10.7
324,SH601005,重庆钢铁,31,1.3
325,SZ002235,安妮股份,31,5.28
326,SZ000004,国华网安,31,12.41
327,SZ001287,中电港,31,17.46
328,SH600028,中国石化,30,6.38
329,SZ000099,中信海直,30,15.08
330,SH600602,云赛智联,30,12.47
331,SZ002929,润建股份,30,35.72
332,SZ301157,华塑科技,30,32.18
333,SZ000509,华塑控股,30,3.18
334,SZ002599,盛通股份,30,6.01
335,SH600000,浦发银行,30,7.13
336,SH600422,昆药集团,30,21.8
337,SZ000536,华映科技,30,2.59
338,SH603196,日播时尚,30,10.94
339,SH600822,上海物贸,30,10.32
340,SH603123,翠微股份,30,7.65
341,SZ002401,中远海科,30,15.4
342,SZ301202,朗威股份,30,33.98
343,SH600283,钱江水利,30,12.61
344,SZ301509,金凯生科,30,56.9
345,SZ002607,中公教育,30,2.72
346,SH600259,广晟有色,29,32.08
347,SH603663,三祥新材,29,18.03
348,SH601096,宏盛华源,29,5.15
349,SZ002380,科远智慧,29,15.03
350,SZ300476,胜宏科技,29,23.92
351,SZ002049,紫光国微,29,59.18
352,SZ301337,亚华电子,29,35.21
353,SZ000756,新华制药,29,15.79
354,SZ002877,智能自控,29,8.41
355,SZ000338,潍柴动力,29,17.9
356,SZ300978,东箭科技,29,10.44
357,SH600560,金自天正,29,15.31
358,SZ002893,京能热力,29,11.55
359,SH603906,龙蟠科技,29,9.86
360,SZ003027,同兴环保,29,17.62
361,SZ300459,汤姆猫,29,4.1
362,SZ001239,永达股份,29,20.93
363,SH600272,开开实业,29,10.38
364,SZ002875,安奈儿,29,11.52
365,SZ002310,东方园林,29,1.58
366,SH603162,海通发展,28,13.58
367,SZ300649,杭州园林,28,11.33
368,SH603029,天鹅股份,28,16.79
369,SH601600,中国铝业,28,7.42
370,SH603160,汇顶科技,28,55.64
371,SZ301013,利和兴,28,11.75
372,SH603003,龙宇股份,28,10.03
373,SZ002489,浙江永强,28,2.59
374,SZ300975,商络电子,28,9.91
375,SH601668,中国建筑,28,5.01
376,SZ000721,西安饮食,28,10.53
377,SZ000610,西安旅游,28,16.01
378,SZ300630,普利制药,28,17.0
379,SH603466,风语筑,28,11.53
380,SH603052,可川科技,28,36.55
381,SZ200596,古井贡B,28,108.25
382,SZ002941,新疆交建,28,11.34
383,SZ002558,巨人网络,28,11.03
384,SZ002625,光启技术,28,18.61
385,SZ002371,北方华创,28,290.0
386,SH601881,中国银河,28,11.0
387,SZ301007,德迈仕,28,12.75
388,SZ002999,天禾股份,28,6.24
389,SZ300006,莱美药业,28,2.94
390,SH603230,内蒙新华,28,13.09
391,SH600298,安琪酵母,27,28.77
392,SH601188,龙江交通,27,3.45
393,SH600050,中国联通,27,4.52
394,SH603958,哈森股份,27,11.18
395,SZ000413,东旭光电,27,1.64
396,SH605580,恒盛能源,27,10.7
397,SZ002945,华林证券,27,10.99
398,SZ300570,太辰光,27,35.68
399,SH600203,福日电子,27,7.05
400,SH600203,福日电子,27,7.05
401,SZ300252,金信诺,27,7.61
402,SZ002976,瑞玛精密,27,24.09
403,SH600188,兖矿能源,27,24.89
404,SH600133,东湖高新,27,10.86
405,SH600809,山西汾酒,27,240.1
406,SZ300600,国瑞科技,27,7.84
407,SZ002459,晶澳科技,27,15.99
408,SZ001278,一彬科技,27,18.09
409,SZ002045,国光电器,27,12.9
410,SH688076,诺泰生物,27,51.95
411,SZ002693,双成药业,27,5.52
412,SH600100,同方股份,26,6.06
413,SH600633,浙数文化,26,10.08
414,SZ002812,恩捷股份,26,40.96
415,SZ300500,启迪设计,26,8.98
416,SZ002725,跃岭股份,26,9.25
417,SZ002670,国盛金控,26,8.72
418,SH600332,白云山,26,28.61
419,SH603030,*ST全筑,26,2.2
420,SZ301421,波长光电,26,40.67
421,SZ300169,天晟新材,26,5.56
422,SH600776,东方通信,26,9.41
423,SH603005,晶方科技,26,16.58
424,SH605598,上海港湾,26,17.19
425,SZ002611,东方精工,26,6.59
